YEAR,DOY,DOY_INT,PATH,USER,AREA,PIXELCOUNT,KC_COLD,KC_CLD_PCT,KC_HOT,KC_HOT_PCT,TS_COLD,TS_HOT,DT,NDVI_COLD,NDVI_HOT
2005,070,70,042,JB,FALLON/MASON,159440,1.04999995232,1.00100004673,0.10000000149,1.66144001484,292.829986572,310.239990234,17.4099006653,0.734112024307,0.115936003625
2005,086,86,042,JB,FALLON/MASON,90831,1.04999995232,31.6082000732,0.10000000149,11.8142004013,279.07800293,287.996002197,8.91845989227,0.577977001667,0.114858001471
2005,102,102,042,JB,FALLON/MASON,141051,1.04999995232,10.2311000824,0.10000000149,10.6281003952,296.968994141,309.773010254,12.8030004501,0.739570975304,0.128776997328
2005,134,134,042,JB,FALLON/MASON,159836,1.04999995232,4.77990007401,0.10000000149,1.10550999641,296.968994141,318.816009521,21.8463001251,0.811586976051,0.139614999294
2005,150,150,042,JB,FALLON/MASON,80187,1.04999995232,6.37260007858,0.10000000149,5.66176986694,295.947998047,317.937011719,21.989200592,0.811886012554,0.138324007392
2005,166,166,042,JB,FALLON/MASON,159081,1.04999995232,0.456999987364,0.10000000149,9.00736045837,298.486999512,324.838989258,26.3523006439,0.803462028503,0.121514998376
2005,182,182,042,JB,FALLON/MASON,158946,1.04999995232,11.0143995285,0.10000000149,7.29870986938,303.419006348,327.350006104,23.9309005737,0.827382981777,0.128268003464
2005,198,198,042,JB,FALLON/MASON,155348,1.04999995232,0.876097977161,0.10000000149,5.75546979904,301.959014893,327.765991211,25.8071994781,0.819420993328,0.114087000489
2005,214,214,042,JB,FALLON/MASON,3847,1.04999995232,0.623862981796,0.10000000149,42.2146987915,299.986999512,324.415985107,24.4295005798,0.785821974277,0.128268003464
2005,230,230,042,JB,FALLON/MASON,151900,1.04999995232,4.44436979294,0.10000000149,4.84265995026,297.476989746,321.858001709,24.3808994293,0.791671991348,0.114224001765
2005,246,246,042,JB,FALLON/MASON,155216,1.04999995232,0.639109015465,0.10000000149,1.45925998688,299.489013672,326.100006104,26.6117992401,0.792240977287,0.114177003503
2005,262,262,042,JB,FALLON/MASON,157222,1.04999995232,9.63288021088,0.10000000149,0.45604300499,294.916992188,318.380004883,23.463300705,0.838168025017,0.0845611020923
2005,278,278,042,JB,FALLON/MASON,159070,1.04999995232,4.00829982758,0.10000000149,4.89721012115,289.630004883,306.945007324,17.3153991699,0.813175976276,0.104327000678
2005,294,294,042,JB,FALLON/MASON,158858,1.04999995232,4.46624994278,0.10000000149,1.29172003269,290.705993652,305.507995605,14.8014001846,0.811344981194,0.115079000592
2005,326,326,042,JB,FALLON/MASON,159091,1.04999995232,4.41131019592,0.10000000149,4.28560018539,283.524993896,291.273986816,7.74932003021,0.775005996227,0.102788001299
2006,009,9,042,LG,FALLON/MASON,141837,1.04999995232,19.1643009186,0.10000000149,2.1186299324,277.092010498,281.729003906,4.63767004013,0.695514023304,0.178342998028
2006,025,25,042,LG,FALLON/MASON,159407,1.04999995232,1.76153004169,0.10000000149,1.59403002262,278.864990234,287.434997559,8.57038021088,0.729360997677,0.183434993029
2006,041,41,042,LG,FALLON/MASON,159666,1.04999995232,5.23905992508,0.10000000149,2.18331003189,286.339996338,294.459991455,8.11925983429,0.728588998318,0.14949400723
2006,105,105,042,LG,FALLON/MASON,50755,1.04999995232,2.28154993057,0.10000000149,0.427543997765,289.088012695,306.942993164,17.8553009033,0.752048015594,0.12733399868
2006,121,121,042,LG,FALLON/MASON,159706,1.04999995232,0.117090001702,0.10000000149,9.64272022247,295.433013916,316.609008789,21.175699234,0.775776982307,0.10742200166
2006,137,137,042,LG,FALLON/MASON,156487,1.04999995232,0.636475026608,0.10000000149,4.2093000412,298.486999512,321.42401123,22.9375,0.778939008713,0.144117996097
2006,153,153,042,LG,FALLON/MASON,111769,1.04999995232,1.2355799675,0.10000000149,6.50001001358,290.705993652,317.937011719,27.2311000824,0.697838008404,0.126109004021
2006,169,169,042,LG,FALLON/MASON,159640,1.04999995232,0.00563768018037,0.10000000149,3.31433010101,300.976989746,329.412994385,28.436000824,0.795045018196,0.136915996671
2006,185,185,042,LG,FALLON/MASON,152466,1.04999995232,0.0124618001282,0.10000000149,2.00437998772,298.486999512,327.763000488,29.2759990692,0.764729976654,0.1429399997
2006,201,201,042,LG,FALLON/MASON,115400,1.04999995232,0.579723000526,0.10000000149,3.44973993301,301.468994141,325.678009033,24.2091999054,0.769379973412,0.14453099668
2006,217,217,042,LG,FALLON/MASON,152337,1.04999995232,0.0216624997556,0.10000000149,0.468697994947,297.983001709,327.764007568,29.7810993195,0.777279019356,0.133017003536
2006,233,233,042,LG,FALLON/MASON,155772,1.04999995232,0.0128392996266,0.10000000149,5.11774015427,300.481994629,328.177001953,27.6947002411,0.780934989452,0.142041996121
2006,249,249,042,LG,FALLON/MASON,139936,1.04999995232,0.105048000813,0.10000000149,4.5749502182,299.489013672,322.286987305,22.7982997894,0.78391200304,0.120929002762
2006,265,265,042,LG,FALLON/MASON,159688,1.04999995232,0.228570997715,0.10000000149,1.05831003189,286.339996338,307.891998291,21.551700592,0.766375005245,0.135210007429
2006,281,281,042,LG,FALLON/MASON,159087,1.04999995232,0.113774001598,0.10000000149,1.71100997925,289.088012695,308.363006592,19.2749996185,0.781835973263,0.146574005485
2006,297,297,042,LG,FALLON/MASON,81977,1.04999995232,0.614807009697,0.10000000149,2.54340004921,291.240997314,305.985992432,14.7451000214,0.751752972603,0.140716001391
